Ticker;YaHoo;Firm Name;Part. (%)
TTEN3;TTEN3.SA;3TENTOS;0,507
ABCB4;ABCB4.SA;ABC BRASIL;0,525
ALOS3;ALOS3.SA;ALLOS;3,613
ALPA4;ALPA4.SA;ALPARGATAS;0,435
ALUP11;ALUP11.SA;ALUPAR;1,587
ANIM3;ANIM3.SA;ANIMA;0,258
ARML3;ARML3.SA;ARMAC;0,178
ASAI3;ASAI3.SA;ASSAI;3,371
AURE3;AURE3.SA;AUREN;1,158
AMOB3;AMOB3.SA;AUTOMOB;0,042
AZZA3;AZZA3.SA;AZZAS 2154;1,122
BPAN4;BPAN4.SA;BANCO PAN;0,867
BRSR6;BRSR6.SA;BANRISUL;0,811
BMOB3;BMOB3.SA;BEMOBI TECH;0,548
BLAU3;BLAU3.SA;BLAU;0,118
SOJA3;SOJA3.SA;BOA SAFRA;0,18
BRBI11;BRBI11.SA;BR PARTNERS;0,282
BRAP4;BRAP4.SA;BRADESPAR;1,414
AGRO3;AGRO3.SA;BRASILAGRO;0,394
BRKM5;BRKM5.SA;BRASKEM;0,554
BRAV3;BRAV3.SA;BRAVA;2,134
CAML3;CAML3.SA;CAMIL;0,169
BHIA3;BHIA3.SA;CASAS BAHIA;0,095
CBAV3;CBAV3.SA;CBA;0,328
CEAB3;CEAB3.SA;CEA MODAS;0,733
COGN3;COGN3.SA;COGNA ON;1,939
CSMG3;CSMG3.SA;COPASA;2,174
CSAN3;CSAN3.SA;COSAN;2,176
CURY3;CURY3.SA;CURY S/A;1,413
CVCB3;CVCB3.SA;CVC BRASIL;0,242
CYRE3;CYRE3.SA;CYRELA REALT;2,429
DXCO3;DXCO3.SA;DEXCO;0,502
PNVL3;PNVL3.SA;DIMED;0,213
DIRR3;DIRR3.SA;DIRECIONAL;1,64
ECOR3;ECOR3.SA;ECORODOVIAS;0,826
EVEN3;EVEN3.SA;EVEN;0,435
EZTC3;EZTC3.SA;EZTEC;0,514
FESA4;FESA4.SA;FERBASA;0,339
FLRY3;FLRY3.SA;FLEURY;2,059
FRAS3;FRAS3.SA;FRAS-LE;0,775
GFSA3;GFSA3.SA;GAFISA;0,023
GOAU4;GOAU4.SA;GERDAU MET;2,068
GGPS3;GGPS3.SA;GPS;2,317
GRND3;GRND3.SA;GRENDENE;0,442
SBFG3;SBFG3.SA;GRUPO SBF;0,515
GUAR3;GUAR3.SA;GUARARAPES;0,249
HBSA3;HBSA3.SA;HIDROVIAS;0,885
HYPE3;HYPE3.SA;HYPERA;2,153
IGTI11;IGTI11.SA;IGUATEMI S.A;1,6
INTB3;INTB3.SA;INTELBRAS;0,412
MYPK3;MYPK3.SA;IOCHP-MAXION;0,456
RANI3;RANI3.SA;IRANI;0,263
IRBR3;IRBR3.SA;IRBBRASIL RE;1,224
JALL3;JALL3.SA;JALLESMACHAD;0,08
JHSF3;JHSF3.SA;JHSF PART;0,547
JSLG3;JSLG3.SA;JSL;0,106
KEPL3;KEPL3.SA;KEPLER WEBER;0,401
LAVV3;LAVV3.SA;LAVVI;0,323
LOGG3;LOGG3.SA;LOG COM PROP;0,371
LREN3;LREN3.SA;LOJAS RENNER;4,612
LWSA3;LWSA3.SA;LWSA;0,486
MDIA3;MDIA3.SA;M.DIASBRANCO;0,608
MGLU3;MGLU3.SA;MAGAZ LUIZA;0,944
POMO4;POMO4.SA;MARCOPOLO;1,84
