BuildPort,K,D,HHI,SD,SR
2008-01-03,0,0,0.06396463367245568,0.31002866221343006,-0.014404471231364324
2008-01-03,-5,-15,0.08315841663938925,0.3319343713930777,-0.01430868538000619
2008-01-03,-3,-15,0.06527256781335315,0.3234635667912734,-0.013452577506923828
2008-01-03,-1,-15,0.1006912708336103,0.2963280756850782,-0.014375892283355248
2008-01-03,0,-15,0.059885273973913675,0.3345273219522145,-0.01364435704258723
2008-01-03,1,-15,0.04565651623416669,0.32917277038861453,-0.015461902873256564
2008-01-03,3,-15,0.06947443150021539,0.30791555462991066,-0.012528480011750132
2008-01-03,5,-15,0.06493666586651838,0.322661970188601,-0.012881358964449233
2008-01-03,-5,-10,0.061839481105946274,0.3304882326347622,-0.013808367663436965
2008-01-03,-3,-10,0.047803810494763455,0.32675603160421,-0.01472344941793057
2008-01-03,-1,-10,0.07499909805940962,0.33441966266386125,-0.013403400283113367
2008-01-03,0,-10,0.05539028361683018,0.3408217742368845,-0.013286269963733457
2008-01-03,1,-10,0.06412316464803938,0.3514677128676802,-0.012942701468608427
2008-01-03,3,-10,0.06367840798548512,0.3462663923149615,-0.010847235342180747
2008-01-03,5,-10,0.05522190529471236,0.3480486584302883,-0.013167448278507979
2008-01-03,-5,-5,0.06924652382087396,0.33066622786678934,-0.01294323290273784
2008-01-03,-3,-5,0.05246116094915085,0.3329206947998535,-0.013664874662277223
2008-01-03,-1,-5,0.06565952406079191,0.3115116415261162,-0.015010517429573106
2008-01-03,0,-5,0.05794641568928448,0.3189840664878737,-0.013140032902907415
2008-01-03,1,-5,0.05927362610496317,0.3263444623288458,-0.013951601322874277
2008-01-03,3,-5,0.05287962483638938,0.3459897396529209,-0.011375045644585214
2008-01-03,5,-5,0.04495844008041752,0.3447347401126383,-0.012717101906742578
2008-01-03,-5,0,0.06332976508887596,0.34873008411198725,-0.012746306001851934
2008-01-03,-3,0,0.05254131151562135,0.3220366392961632,-0.013622986055398975
2008-01-03,-1,0,0.06123662557584012,0.3228399890571953,-0.014124171814599422
2008-01-03,0,0,0.06396463367245568,0.31002866221343006,-0.014404471231364324
2008-01-03,1,0,0.0651338094511972,0.3130540245980062,-0.012925720709264012
2008-01-03,3,0,0.05149921672577303,0.33636298857453056,-0.01171037205670171
2008-01-03,5,0,0.06959559109988446,0.3396083555458662,-0.013070829717351802
2008-01-03,-5,5,0.053730538441283726,0.3393820707738859,-0.012888024440018785
2008-01-03,-3,5,0.044072501448731094,0.32480380835280215,-0.013728034515652235
2008-01-03,-1,5,0.0645746110397666,0.31838581557830636,-0.014527334437865302
2008-01-03,0,5,0.05062976222758603,0.32973664504877304,-0.012705966456545925
2008-01-03,1,5,0.06309627732015179,0.32680871951570256,-0.013388832819487377
2008-01-03,3,5,0.037860016957178284,0.33644335098271555,-0.012808612952941438
2008-01-03,5,5,0.051472469509688173,0.3315265414415657,-0.012107229087189688
2008-01-03,-5,10,0.053730538441283726,0.3393820707738859,-0.012888024440018785
2008-01-03,-3,10,0.044072501448731094,0.32480380835280215,-0.013728034515652235
2008-01-03,-1,10,0.0645746110397666,0.31838581557830636,-0.014527334437865302
2008-01-03,0,10,0.05062976222758603,0.32973664504877304,-0.012705966456545925
2008-01-03,1,10,0.06309627732015179,0.32680871951570256,-0.013388832819487377
2008-01-03,3,10,0.037860016957178284,0.33644335098271555,-0.012808612952941438
2008-01-03,5,10,0.051472469509688173,0.3315265414415657,-0.012107229087189688
2008-01-03,-5,15,0.053730538441283726,0.3393820707738859,-0.012888024440018785
2008-01-03,-3,15,0.044072501448731094,0.32480380835280215,-0.013728034515652235
2008-01-03,-1,15,0.0645746110397666,0.31838581557830636,-0.014527334437865302
2008-01-03,0,15,0.05062976222758603,0.32973664504877304,-0.012705966456545925
2008-01-03,1,15,0.06309627732015179,0.32680871951570256,-0.013388832819487377
2008-01-03,3,15,0.037860016957178284,0.33644335098271555,-0.012808612952941438
2008-01-03,5,15,0.051472469509688173,0.3315265414415657,-0.012107229087189688
2008-02-06,0,0,0.049851959868640355,0.1145372919129275,0.02125280922215334
2008-02-06,-5,-15,0.24429073484214872,0.25704238261476337,0.012395926994532094
2008-02-06,-3,-15,0.19860611144604776,0.14766135961706894,0.008585792752590542
2008-02-06,-1,-15,0.09144583301853441,0.11973582723941474,-0.00035960681030144486
2008-02-06,0,-15,0.14711476208328475,0.12671316573004895,-0.016957749819712962
2008-02-06,1,-15,0.208864311121626,0.13097354452452875,0.0029744795443342876
2008-02-06,3,-15,0.19511226657838368,0.1443826982625802,-0.008472856330592358
2008-02-06,5,-15,0.19511226657838368,0.1443826982625802,-0.008472856330592358
2008-02-06,-5,-10,0.08609926526153143,0.11109629087658277,0.014029746559125996
2008-02-06,-3,-10,0.15986389794615502,0.1167989432747979,0.025365140559612996
2008-02-06,-1,-10,0.08769172618820358,0.11173473935471638,0.018046368842294346
2008-02-06,0,-10,0.10747660831488684,0.09065888621542022,0.010282989829426622
2008-02-06,1,-10,0.06688537570862864,0.11269433227121142,0.018936986046103752
2008-02-06,3,-10,0.1298338557961764,0.11225099529650022,0.007272824563291922
2008-02-06,5,-10,0.1298338557961764,0.11225099529650022,0.007272824563291922
2008-02-06,-5,-5,0.15796660736616533,0.11615723404894392,0.015900669094397354
2008-02-06,-3,-5,0.10281138074819579,0.11697081623891148,0.01990807826673373
2008-02-06,-1,-5,0.048815809116039534,0.12799609926835606,0.02157703168003122
2008-02-06,0,-5,0.15955601225455246,0.11878408495399076,0.015299790227890164
2008-02-06,1,-5,0.07538739763394108,0.12014897321664345,0.02382745919882323
2008-02-06,3,-5,0.048525514368407394,0.11959513639852422,0.01440884490847634
2008-02-06,5,-5,0.048525514368407394,0.11959513639852422,0.01440884490847634
2008-02-06,-5,0,0.0717738348187949,0.1191741346512359,0.014476350515217947
2008-02-06,-3,0,0.0494049245156463,0.10882712117388589,0.02312908226526157
2008-02-06,-1,0,0.05724027707672107,0.11802038154721335,0.026259157979209174
2008-02-06,0,0,0.049851959868640355,0.1145372919129275,0.02125280922215334
2008-02-06,1,0,0.046698913795838515,0.12688629171937602,0.023141811833683402
2008-02-06,3,0,0.0510085276803724,0.12495662525900779,0.026624362553855207
2008-02-06,5,0,0.0510085276803724,0.12495662525900779,0.026624362553855207
2008-02-06,-5,5,0.061019257865820145,0.1248151822379833,0.022488057545912786
2008-02-06,-3,5,0.071837350743043,0.11367584860877304,0.01704717375022182
2008-02-06,-1,5,0.05880430800750041,0.11552613719188386,0.021956319849279534
2008-02-06,0,5,0.06099580299985311,0.12253769195342552,0.022020388985865957
2008-02-06,1,5,0.042555628892137466,0.1215105320503571,0.023072680960982823
2008-02-06,3,5,0.058963566779578445,0.12762312139492343,0.023047903204893357
2008-02-06,5,5,0.058963566779578445,0.12762312139492343,0.023047903204893357
2008-02-06,-5,10,0.06415264864340468,0.12667049141766282,0.016555688686293916
2008-02-06,-3,10,0.1405737369078198,0.1221649047514729,0.020045812499981955
2008-02-06,-1,10,0.06367771155867574,0.11482711459068119,0.022047841485256264
2008-02-06,0,10,0.048011594027453135,0.12703788219678336,0.018525131361188423
2008-02-06,1,10,0.05406977018526629,0.12577624233731724,0.020079022955482022
2008-02-06,3,10,0.060209465327625444,0.12032273730666963,0.020254185019594292
2008-02-06,5,10,0.060209465327625444,0.12032273730666963,0.020254185019594292
2008-02-06,-5,15,0.04726038658303269,0.1283971762165256,0.016120282971541586
2008-02-06,-3,15,0.056101789839950456,0.12773683634028277,0.01810874839532687
2008-02-06,-1,15,0.0751855272858488,0.12414579300205936,0.025770162546249156
2008-02-06,0,15,0.04464461306831786,0.12269164963212868,0.018560891597919058
2008-02-06,1,15,0.04676018397148401,0.1395069120151357,0.019243916927579183
2008-02-06,3,15,0.042178497487671114,0.12219075928128216,0.0160099562379252
2008-02-06,5,15,0.042178497487671114,0.12219075928128216,0.0160099562379252
2008-03-06,0,0,0.08856825724564696,0.1756315570586044,-0.003943229337494207
2008-03-06,-5,-15,0.07566709837929556,0.2851734833715461,-0.007768084466217585
2008-03-06,-3,-15,0.09602511465469779,0.19550949360073172,-0.005973981966339192
2008-03-06,-1,-15,0.14440149742074387,0.22474196876341732,-0.006421216981792572
2008-03-06,0,-15,0.08856825724564696,0.1756315570586044,-0.003943229337494207
2008-03-06,1,-15,0.10996898553438389,0.16216059667672103,-0.00690000509588072
2008-03-06,3,-15,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,5,-15,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,-5,-10,0.07566709837929556,0.2851734833715461,-0.007768084466217585
2008-03-06,-3,-10,0.09602511465469779,0.19550949360073172,-0.005973981966339192
2008-03-06,-1,-10,0.14440149742074387,0.22474196876341732,-0.006421216981792572
2008-03-06,0,-10,0.08856825724564696,0.1756315570586044,-0.003943229337494207
2008-03-06,1,-10,0.10996898553438389,0.16216059667672103,-0.00690000509588072
2008-03-06,3,-10,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,5,-10,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,-5,-5,0.07566709837929556,0.2851734833715461,-0.007768084466217585
2008-03-06,-3,-5,0.09602511465469779,0.19550949360073172,-0.005973981966339192
2008-03-06,-1,-5,0.14440149742074387,0.22474196876341732,-0.006421216981792572
2008-03-06,0,-5,0.08856825724564696,0.1756315570586044,-0.003943229337494207
2008-03-06,1,-5,0.10996898553438389,0.16216059667672103,-0.00690000509588072
2008-03-06,3,-5,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,5,-5,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,-5,0,0.07566709837929556,0.2851734833715461,-0.007768084466217585
2008-03-06,-3,0,0.09602511465469779,0.19550949360073172,-0.005973981966339192
2008-03-06,-1,0,0.14440149742074387,0.22474196876341732,-0.006421216981792572
2008-03-06,0,0,0.08856825724564696,0.1756315570586044,-0.003943229337494207
2008-03-06,1,0,0.10996898553438389,0.16216059667672103,-0.00690000509588072
2008-03-06,3,0,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,5,0,0.19799686469622177,0.1770110522048969,-0.006402922874058654
2008-03-06,-5,5,0.05002594949546479,0.21516374908510957,-0.002405047525156278
2008-03-06,-3,5,0.06068836417765002,0.1963292887991308,-0.0029725593632336186
2008-03-06,-1,5,0.07617216699136775,0.19520895891281623,-0.006412150150240608
2008-03-06,0,5,0.080349789964747,0.18646269215992678,-0.00547972149642748
2008-03-06,1,5,0.07128683727360845,0.17904938396528128,-0.005101855867366649
2008-03-06,3,5,0.16702368825943872,0.18096722157243408,-0.004242925028803201
2008-03-06,5,5,0.16702368825943872,0.18096722157243408,-0.004242925028803201
2008-03-06,-5,10,0.03498560369782848,0.2160356387487668,-0.004221704446728637
2008-03-06,-3,10,0.04542984774300417,0.20781754433580588,-0.003721665464344031
2008-03-06,-1,10,0.04735215815736815,0.2040616331828332,-0.006008437583355769
2008-03-06,0,10,0.06433947186644302,0.19831714952966006,-0.0043236215195378005
2008-03-06,1,10,0.06530426399335569,0.19409782064498174,-0.0035403081725524093
2008-03-06,3,10,0.04818631892253536,0.2041570598192997,-0.0039725221598927935
2008-03-06,5,10,0.04818631892253536,0.2041570598192997,-0.0039725221598927935
2008-03-06,-5,15,0.03673493509593606,0.21858271695303017,-0.004430098101038515
2008-03-06,-3,15,0.03567076381293502,0.2192516077881461,-0.004249150676099088
2008-03-06,-1,15,0.050487559703257315,0.24872615144318913,-0.006313882409949761
2008-03-06,0,15,0.03872372554729943,0.21070589235201018,-0.003113108566483612
2008-03-06,1,15,0.058517129496317793,0.21298276076178888,0.0012274688827194514
2008-03-06,3,15,0.034510386260416415,0.21892479690169261,-0.004774262635168716
2008-03-06,5,15,0.034510386260416415,0.21892479690169261,-0.004774262635168716
2008-04-07,0,0,0.06534496194076429,0.1628770929427476,0.019071181977292406
2008-04-07,-5,-15,0.105422765066923,0.2101417266875339,0.021426396661226303
2008-04-07,-3,-15,0.153565902802051,0.17437780949818377,0.02208952769003786
2008-04-07,-1,-15,0.11564192890720956,0.13825217811619026,0.0182669137728539
2008-04-07,0,-15,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,1,-15,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,3,-15,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,5,-15,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,-5,-10,0.105422765066923,0.2101417266875339,0.021426396661226303
2008-04-07,-3,-10,0.153565902802051,0.17437780949818377,0.02208952769003786
2008-04-07,-1,-10,0.11564192890720956,0.13825217811619026,0.0182669137728539
2008-04-07,0,-10,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,1,-10,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,3,-10,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,5,-10,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,-5,-5,0.105422765066923,0.2101417266875339,0.021426396661226303
2008-04-07,-3,-5,0.153565902802051,0.17437780949818377,0.02208952769003786
2008-04-07,-1,-5,0.11564192890720956,0.13825217811619026,0.0182669137728539
2008-04-07,0,-5,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,1,-5,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,3,-5,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,5,-5,0.321711353443445,0.14572205469765434,0.005333450080828144
2008-04-07,-5,0,0.06691575264739752,0.15158419791126063,0.018597064695158632
2008-04-07,-3,0,0.04318481346201152,0.17922503979541396,0.01830883536986019
2008-04-07,-1,0,0.058344752540012944,0.17752427003841625,0.01895286373588898
2008-04-07,0,0,0.06534496194076429,0.1628770929427476,0.019071181977292406
2008-04-07,1,0,0.06534496194076429,0.1628770929427476,0.019071181977292406
2008-04-07,3,0,0.06534496194076429,0.1628770929427476,0.019071181977292406
2008-04-07,5,0,0.06534496194076429,0.1628770929427476,0.019071181977292406
2008-04-07,-5,5,0.0666548972799829,0.15742921711141414,0.018272078960111723
2008-04-07,-3,5,0.03691264425096679,0.17923544327627114,0.01527359339435034
2008-04-07,-1,5,0.04004597524351429,0.18094888021790698,0.016939313630573875
2008-04-07,0,5,0.045003314116237675,0.19397729095388744,0.017384865718381888
2008-04-07,1,5,0.045003314116237675,0.19397729095388744,0.017384865718381888
2008-04-07,3,5,0.045003314116237675,0.19397729095388744,0.017384865718381888
2008-04-07,5,5,0.045003314116237675,0.19397729095388744,0.017384865718381888
2008-04-07,-5,10,0.058688131061008265,0.16418764691917553,0.010994379527977386
2008-04-07,-3,10,0.04949873242802402,0.18591796100353938,0.013460604176198432
2008-04-07,-1,10,0.05129876230920704,0.17669279255161593,0.018263865792878926
2008-04-07,0,10,0.0591519069659314,0.18571809716983392,0.018611424954553386
2008-04-07,1,10,0.0591519069659314,0.18571809716983392,0.018611424954553386
2008-04-07,3,10,0.0591519069659314,0.18571809716983392,0.018611424954553386
2008-04-07,5,10,0.0591519069659314,0.18571809716983392,0.018611424954553386
2008-04-07,-5,15,0.043825175033580244,0.18143929350077215,0.015446209531606268
2008-04-07,-3,15,0.07058644578538151,0.1615064151009717,0.014847702560087647
2008-04-07,-1,15,0.038238273414557995,0.18870624062043112,0.013996386235482881
2008-04-07,0,15,0.03750356328405284,0.18090940890333918,0.015095069046600759
2008-04-07,1,15,0.03750356328405284,0.18090940890333918,0.015095069046600759
2008-04-07,3,15,0.03750356328405284,0.18090940890333918,0.015095069046600759
2008-04-07,5,15,0.03750356328405284,0.18090940890333918,0.015095069046600759
2008-05-08,0,0,0.07170984220267049,0.2019102564916483,0.033226654116770366
2008-05-08,-5,-15,0.17995451018706665,0.15919751584226388,0.02094605400991485
2008-05-08,-3,-15,0.16439091221260013,0.2630343389525856,0.023534573453754468
2008-05-08,-1,-15,0.18442956756937187,0.24992354849367035,0.027151884655732386
2008-05-08,0,-15,0.1325586528321036,0.22956653562263635,0.02642979684808923
2008-05-08,1,-15,0.17373654648851544,0.25034162724607584,0.02576587400548016
2008-05-08,3,-15,0.1848823915167353,0.22448376273523132,0.03037383723132038
2008-05-08,5,-15,0.1848823915167353,0.22448376273523132,0.03037383723132038
2008-05-08,-5,-10,0.17995451018706665,0.15919751584226388,0.02094605400991485
2008-05-08,-3,-10,0.16439091221260013,0.2630343389525856,0.023534573453754468
2008-05-08,-1,-10,0.18442956756937187,0.24992354849367035,0.027151884655732386
2008-05-08,0,-10,0.1325586528321036,0.22956653562263635,0.02642979684808923
2008-05-08,1,-10,0.17373654648851544,0.25034162724607584,0.02576587400548016
2008-05-08,3,-10,0.1848823915167353,0.22448376273523132,0.03037383723132038
2008-05-08,5,-10,0.1848823915167353,0.22448376273523132,0.03037383723132038
2008-05-08,-5,-5,0.17995451018706665,0.15919751584226388,0.02094605400991485
2008-05-08,-3,-5,0.16439091221260013,0.2630343389525856,0.023534573453754468
2008-05-08,-1,-5,0.18442956756937187,0.24992354849367035,0.027151884655732386
2008-05-08,0,-5,0.1325586528321036,0.22956653562263635,0.02642979684808923
2008-05-08,1,-5,0.17373654648851544,0.25034162724607584,0.02576587400548016
2008-05-08,3,-5,0.1848823915167353,0.22448376273523132,0.03037383723132038
2008-05-08,5,-5,0.1848823915167353,0.22448376273523132,0.03037383723132038
2008-05-08,-5,0,0.04593150794129688,0.17905173316785405,0.03100832546672134
2008-05-08,-3,0,0.05463998775658739,0.17450957456913646,0.03034663171527971
2008-05-08,-1,0,0.06736508598921155,0.17881579780545942,0.026171004959674324
2008-05-08,0,0,0.07170984220267049,0.2019102564916483,0.033226654116770366
2008-05-08,1,0,0.04631602070016388,0.16608325718106995,0.02684132167137279
2008-05-08,3,0,0.05203980535632127,0.16318270324434808,0.028491557319491875
2008-05-08,5,0,0.05203980535632127,0.16318270324434808,0.028491557319491875
2008-05-08,-5,5,0.053422071615766197,0.19660807747387346,0.032218198636108274
2008-05-08,-3,5,0.04396837191413639,0.16859765916416375,0.02857600077743126
2008-05-08,-1,5,0.04080175573921267,0.17195306617868217,0.027365828704992518
2008-05-08,0,5,0.05348601558952795,0.1645130582872621,0.029956172851728014
2008-05-08,1,5,0.05531235128873366,0.16882785490986393,0.028494732996240144
2008-05-08,3,5,0.04387411158903867,0.15106957051353098,0.030260905755235448
2008-05-08,5,5,0.04387411158903867,0.15106957051353098,0.030260905755235448
2008-05-08,-5,10,0.047972927628875464,0.15691530864030695,0.02708243008617559
2008-05-08,-3,10,0.06281244634910357,0.18164649726483914,0.029132885392003614
2008-05-08,-1,10,0.044305858789342685,0.15504163063506057,0.023143865285166845
2008-05-08,0,10,0.06654510751213231,0.14582345106502434,0.024486644206867653
2008-05-08,1,10,0.05809467088580586,0.1535199977216452,0.02735509697456387
2008-05-08,3,10,0.05869022003836413,0.1568156672623489,0.031162539987375087
2008-05-08,5,10,0.05869022003836413,0.1568156672623489,0.031162539987375087
2008-05-08,-5,15,0.05278222823182679,0.16039115750520766,0.02897653957310755
2008-05-08,-3,15,0.04868357888681339,0.16410307946300626,0.029328117520976672
2008-05-08,-1,15,0.04013357988054319,0.1588628192362014,0.02664912460437321
2008-05-08,0,15,0.037616579654025185,0.1568545821984069,0.028462990370979123
2008-05-08,1,15,0.040850809284810524,0.16946542450260021,0.027221331931819526
2008-05-08,3,15,0.044140104616346425,0.14756028579266647,0.028487183249395732
2008-05-08,5,15,0.044140104616346425,0.14756028579266647,0.028487183249395732
2008-06-09,0,0,0.050453865700831484,0.14233389136133376,-0.042630436228791445
2008-06-09,-5,-15,0.05346586562597979,0.17217586842082414,-0.040527739767268256
2008-06-09,-3,-15,0.05346586562597979,0.17217586842082414,-0.040527739767268256
2008-06-09,-1,-15,0.3692424782170431,0.15146741309295092,-0.03977355314897914
2008-06-09,0,-15,0.08521269805213834,0.17309356992117186,-0.04444684553434052
2008-06-09,1,-15,0.11184525474488503,0.1708688750055265,-0.03879074254588395
2008-06-09,3,-15,0.09602013670581405,0.19812513961748776,-0.03255485498648039
2008-06-09,5,-15,0.0988365619428777,0.1810789468173729,-0.03131457626535556
2008-06-09,-5,-10,0.05346586562597979,0.17217586842082414,-0.040527739767268256
2008-06-09,-3,-10,0.05346586562597979,0.17217586842082414,-0.040527739767268256
2008-06-09,-1,-10,0.3692424782170431,0.15146741309295092,-0.03977355314897914
2008-06-09,0,-10,0.08521269805213834,0.17309356992117186,-0.04444684553434052
2008-06-09,1,-10,0.11184525474488503,0.1708688750055265,-0.03879074254588395
2008-06-09,3,-10,0.09602013670581405,0.19812513961748776,-0.03255485498648039
2008-06-09,5,-10,0.0988365619428777,0.1810789468173729,-0.03131457626535556
